"sample.no","complexity","algal.cover","","sanctuary","status","site.new","year"
1460,3,1,NA,"Parker Point","Fished","Parker Point.Fished",2018
1461,2,1,NA,"Parker Point","Fished","Parker Point.Fished",2018
1462,2,1,NA,"Parker Point","Fished","Parker Point.Fished",2018
1463,3,1,NA,"Parker Point","Fished","Parker Point.Fished",2018
1464,1,1,NA,"Parker Point","Fished","Parker Point.Fished",2018
1465,1,2,NA,"Parker Point","Fished","Parker Point.Fished",2018
1466,2,3,NA,"Parker Point","Fished","Parker Point.Fished",2018
1467,3,2,NA,"Parker Point","Fished","Parker Point.Fished",2018
1468,4,3,NA,"Parker Point","Fished","Parker Point.Fished",2018
1469,4,3,NA,"Parker Point","Fished","Parker Point.Fished",2018
1470,4,3,NA,"Parker Point","Fished","Parker Point.Fished",2018
1471,3,2,NA,"Parker Point","Fished","Parker Point.Fished",2018
1472,4,3,NA,"Parker Point","Fished","Parker Point.Fished",2018
1473,1,1,NA,"Parker Point","Fished","Parker Point.Fished",2018
1474,4,3,NA,"Parker Point","Fished","Parker Point.Fished",2018
1475,2,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1476,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1477,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1478,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1479,2,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1480,4,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1481,4,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1482,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1483,1,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1484,3,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1485,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1486,4,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1487,4,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1488,4,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1489,3,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1490,4,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1491,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1492,4,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1493,1,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1494,1,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1495,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1496,4,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1497,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1498,4,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1499,4,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1500,4,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1501,2,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1502,4,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1503,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1504,2,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1505,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1506,3,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1507,3,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1508,2,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1509,3,2,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1510,0,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1511,3,1,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1512,2,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1513,2,3,NA,"Parker Point","No-take","Little Salmon.No-take",2018
1514,3,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1515,1,1,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1516,3,1,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1517,3,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1518,1,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1519,2,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1520,2,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1521,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1522,1,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1523,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1524,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1525,3,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1526,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1527,3,2,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1528,2,2,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1529,4,2,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1530,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1531,3,2,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1532,3,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1533,2,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1534,3,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1535,3,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1536,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1537,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1538,2,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1539,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1540,1,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1541,2,1,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1542,2,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1543,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1544,3,1,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1545,2,1,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1546,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1547,3,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1548,2,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1549,3,1,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1550,1,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1551,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1552,2,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1553,4,3,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2018
1554,2,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1555,2,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1556,1,0,NA,"Parker Point","No-take","Parker Point.No-take",2018
1557,2,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1558,4,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1559,4,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1560,4,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1561,2,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1562,2,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1563,1,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1564,3,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1565,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1566,2,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1567,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1568,2,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1569,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1570,3,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1571,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1572,2,0,NA,"Parker Point","No-take","Parker Point.No-take",2018
1573,3,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1574,2,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1575,4,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1576,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1577,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1578,4,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1579,3,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1580,3,1,NA,"Parker Point","No-take","Parker Point.No-take",2018
1581,2,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1582,2,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1583,3,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1584,2,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1585,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1586,1,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1587,3,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1588,3,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1589,3,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1590,2,2,NA,"Parker Point","No-take","Parker Point.No-take",2018
1591,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1592,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1593,4,3,NA,"Parker Point","No-take","Parker Point.No-take",2018
1594,4,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1595,4,1,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1596,3,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1597,3,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1598,3,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1599,2,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1600,1,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1601,2,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1602,1,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1603,4,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1604,2,1,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1605,4,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1606,4,2,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1607,2,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1608,2,2,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1609,3,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1610,3,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1611,1,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1612,3,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1613,4,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1614,1,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1615,3,1,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1616,1,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1617,4,1,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1618,3,2,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1619,2,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1620,2,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1621,1,1,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1622,1,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1623,1,3,NA,"Parker Point","Fished","Fairbridge.Fished",2018
1624,1,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1625,4,2,NA,"Green Island","Fished","West Salmon.Fished",2018
1626,1,1,NA,"Green Island","Fished","West Salmon.Fished",2018
1627,3,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1628,2,2,NA,"Green Island","Fished","West Salmon.Fished",2018
1629,3,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1630,4,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1631,3,2,NA,"Green Island","Fished","West Salmon.Fished",2018
1632,4,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1633,2,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1634,2,1,NA,"Green Island","Fished","West Salmon.Fished",2018
1635,3,1,NA,"Green Island","Fished","West Salmon.Fished",2018
1636,1,0,NA,"Green Island","Fished","West Salmon.Fished",2018
1637,2,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1638,2,0,NA,"Green Island","Fished","West Salmon.Fished",2018
1639,3,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1640,1,1,NA,"Green Island","Fished","West Salmon.Fished",2018
1641,1,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1642,4,4,NA,"Green Island","Fished","West Salmon.Fished",2018
1643,2,0,NA,"Green Island","Fished","West Salmon.Fished",2018
1644,1,2,NA,"Green Island","Fished","West Salmon.Fished",2018
1645,2,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1646,2,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1647,1,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1648,3,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1649,4,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1650,4,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1651,1,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1652,3,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1653,2,2,NA,"Green Island","Fished","West Salmon.Fished",2018
1654,2,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1655,2,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1656,4,2,NA,"Green Island","Fished","West Salmon.Fished",2018
1657,3,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1658,4,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1659,4,3,NA,"Green Island","Fished","West Salmon.Fished",2018
1660,4,2,NA,"Green Island","Fished","West Salmon.Fished",2018
1661,4,1,NA,"Green Island","Fished","West Salmon.Fished",2018
1662,2,1,NA,"Green Island","Fished","West Salmon.Fished",2018
1663,2,2,NA,"Green Island","Fished","West Salmon.Fished",2018
1664,2,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1665,1,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1666,2,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1667,4,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1668,2,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1669,4,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1670,1,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1671,2,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1672,3,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1673,3,2,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1674,3,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1675,2,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1676,3,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1677,2,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1678,1,2,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1679,4,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1680,1,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1681,2,2,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1682,4,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1683,2,2,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1684,2,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1685,3,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1686,3,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1687,2,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1688,3,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1689,2,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1690,4,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1691,3,2,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1692,3,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1693,3,2,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1694,4,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1695,2,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1696,4,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1697,2,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1698,4,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1699,3,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1700,3,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1701,3,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1702,4,1,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1703,4,3,NA,"Armstrong Bay","Fished","Ricey Beach.Fished",2018
1704,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1705,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1706,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1707,3,2,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1708,3,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1709,2,2,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1710,1,0,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1711,2,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1712,2,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1713,1,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1714,3,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1715,3,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1716,1,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1717,2,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1718,1,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1719,2,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1720,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1721,1,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1722,4,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1723,2,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1724,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1725,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1726,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1727,2,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1728,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1729,2,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1730,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1731,2,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1732,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1733,3,1,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1734,3,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1735,1,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1736,1,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1737,2,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1738,2,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1739,4,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1740,3,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1741,4,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1742,4,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
1743,3,3,NA,"Green Island","Fished","Strickland Bay.Fished",2018
