"sample.no","complexity","algal.cover","year.x","","sanctuary","status","site.new","year.y"
776,2,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
777,2,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
778,1,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
779,2,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
780,2,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
781,1,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
782,4,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
783,3,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
784,2,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
785,1,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
786,2,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
787,3,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
788,3,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
789,3,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
790,1,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
791,1,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
792,1,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
793,1,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
794,3,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
795,3,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
796,2,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
797,3,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
798,2,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
799,2,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
800,2,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
801,3,2,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
802,2,1,2015,NA,"Parker Point","Fished","Parker Point.Fished",2015
803,1,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
804,2,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
805,2,1,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
806,1,1,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
807,3,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
808,1,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
809,3,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
810,2,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
811,1,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
812,1,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
813,1,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
814,1,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
815,1,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
816,3,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
817,1,3,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
818,2,3,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
819,2,3,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
820,1,3,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
821,4,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
822,3,2,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
823,2,1,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
824,2,1,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
825,1,3,2015,NA,"Green Island","Fished","West Salmon.Fished",2015
826,3,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
827,0,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
828,3,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
829,2,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
830,2,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
831,2,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
832,3,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
833,2,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
834,3,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
835,4,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
836,3,1,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
837,3,1,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
838,2,1,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
839,2,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
840,4,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
841,1,1,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
842,4,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
843,3,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
844,2,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
845,3,1,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
846,4,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
847,3,1,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
848,3,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
849,2,1,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
850,3,1,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
851,3,1,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
852,4,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
853,4,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
854,3,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
855,0,2,2016,NA,"Parker Point","No-take","Little Salmon.No-take",2016
856,3,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
857,2,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
858,2,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
859,3,3,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
860,3,3,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
861,2,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
862,4,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
863,2,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
864,3,1,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
865,3,1,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
866,2,1,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
867,2,1,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
868,4,1,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
869,3,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
870,2,1,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
871,3,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
872,4,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
873,4,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
874,2,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
875,4,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
876,3,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
877,3,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
878,3,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
879,3,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
880,4,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
881,2,1,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
882,4,1,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
883,4,1,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
884,1,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
885,4,2,2016,NA,"Parker Point","No-take","Salmon Bay.No-take",2016
886,3,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
887,4,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
888,2,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
889,3,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
890,2,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
891,3,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
892,1,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
893,4,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
894,4,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
895,3,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
896,3,3,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
897,2,3,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
898,2,3,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
899,2,3,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
900,2,3,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
901,2,3,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
902,4,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
903,4,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
904,2,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
905,2,3,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
906,2,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
907,4,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
908,4,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
909,2,1,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
910,2,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
911,3,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
912,3,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
913,2,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
914,3,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
915,1,2,2016,NA,"Armstrong Bay","No-take","Parakeet Bay.No-take",2016
916,3,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
917,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
918,4,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
919,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
920,1,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
921,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
922,4,1,2016,NA,"Green Island","No-take","Green Island.No-take",2016
923,4,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
924,4,1,2016,NA,"Green Island","No-take","Green Island.No-take",2016
925,4,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
926,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
927,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
928,2,3,2016,NA,"Green Island","No-take","Green Island.No-take",2016
929,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
930,2,1,2016,NA,"Green Island","No-take","Green Island.No-take",2016
931,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
932,2,3,2016,NA,"Green Island","No-take","Green Island.No-take",2016
933,2,3,2016,NA,"Green Island","No-take","Green Island.No-take",2016
934,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
935,4,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
936,3,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
937,3,3,2016,NA,"Green Island","No-take","Green Island.No-take",2016
938,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
939,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
940,0,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
941,0,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
942,0,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
943,0,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
944,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
945,2,2,2016,NA,"Green Island","No-take","Green Island.No-take",2016
946,3,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
947,4,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
948,1,1,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
949,3,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
950,2,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
951,1,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
952,2,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
953,2,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
954,2,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
955,3,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
956,2,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
957,2,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
958,2,1,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
959,2,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
960,2,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
961,3,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
962,2,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
963,2,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
964,2,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
965,4,3,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
966,0,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
967,1,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
968,2,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
969,0,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
970,0,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
971,1,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
972,2,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
973,3,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
974,1,1,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
975,2,2,2016,NA,"Armstrong Bay","Fished","Geordie Bay.Fished",2016
976,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
977,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
978,4,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
979,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
980,2,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
981,3,3,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
982,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
983,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
984,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
985,3,0,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
986,4,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
987,4,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
988,2,3,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
989,3,3,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
990,2,3,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
991,2,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
992,2,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
993,2,3,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
994,2,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
995,2,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
996,2,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
997,1,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
998,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
999,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
1000,2,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
1001,0,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
1002,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
1003,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
1004,3,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
1005,4,2,2016,NA,"Green Island","Fished","Strickland Bay.Fished",2016
1006,3,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1007,2,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1008,3,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1009,3,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1010,3,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1011,4,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1012,1,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1013,1,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1014,2,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1015,2,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1016,2,3,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1017,2,3,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1018,3,3,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1019,2,3,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1020,2,3,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1021,2,3,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1022,3,3,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1023,2,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1024,2,3,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1025,2,3,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1026,4,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1027,3,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1028,1,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1029,3,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1030,4,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1031,2,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1032,2,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1033,2,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1034,4,2,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1035,3,1,2016,NA,"Armstrong Bay","Fished","City of York.Fished",2016
1036,3,2,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1037,3,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1038,1,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1039,3,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1040,2,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1041,3,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1042,3,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1043,1,2,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1044,4,2,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1045,2,7,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1046,2,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1047,2,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1048,2,2,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1049,2,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1050,2,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1051,2,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1052,2,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1053,4,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1054,4,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1055,4,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1056,3,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1057,4,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1058,2,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1059,4,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1060,3,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1061,3,3,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1062,3,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1063,3,2,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1064,3,1,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1065,3,2,2016,NA,"Armstrong Bay","Fished","Parakeet Bay.Fished",2016
1066,2,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1067,3,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1068,2,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1069,2,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1070,2,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1071,2,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1072,2,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1073,3,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1074,3,1,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1075,4,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1076,3,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1077,4,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1078,4,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1079,3,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1080,3,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1081,3,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1082,3,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1083,0,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1084,1,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1085,1,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1086,4,1,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1087,4,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1088,2,2,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1089,3,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1090,3,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1091,4,0,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1092,4,1,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1093,4,1,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1094,2,1,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1095,1,3,2016,NA,"Parker Point","No-take","Parker Point.No-take",2016
1096,4,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1097,2,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1098,3,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1099,2,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1100,3,3,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1101,1,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1102,3,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1103,2,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1104,2,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1105,3,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1106,0,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1107,1,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1108,3,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1109,4,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1110,1,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1111,3,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1112,4,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1113,1,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1114,1,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1115,4,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1116,2,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1117,2,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1118,2,3,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1119,2,3,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1120,2,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1121,2,3,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1122,3,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1123,2,1,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1124,4,3,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1125,2,2,2016,NA,"Parker Point","Fished","Parker Point.Fished",2016
1126,2,2,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1127,3,1,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1128,3,1,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1129,3,1,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1130,2,2,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1131,3,1,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1132,2,1,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1133,4,1,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1134,2,2,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1135,3,1,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1136,4,3,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1137,3,3,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1138,3,3,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1139,2,3,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1140,4,3,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1141,3,3,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
1142,3,1,2016,NA,"Green Island","No-take","Mary Cove.No-take",2016
